platform_id,match_key,resolved_province,resolved_city,resolved_county,county_applicable,evidence_rows,first_month_id,last_month_id,matched_alias_count
1,ADDR|重庆市空港工业园区57号地块,重庆市,重庆市,,1,6,202601,202606,2
1,ADDR|北京市顺义区南法信镇顺平路558号1幢1层西侧,北京市,北京市,顺义区,1,6,202601,202606,3
1,ADDR|上海市崇明区新海镇跃进南路495号3幢1152室光明米业经济园区,上海市,上海市,崇明区,1,6,202601,202606,3
1,ADDR|上海市青浦区华浦路500号6幢e区6244室,上海市,上海市,青浦区,1,6,202601,202606,3
1,ADDR|北京市大兴区旧宫镇旧宫工业大院北东甲1号北门,北京市,北京市,大兴区,1,6,202601,202606,3
1,ADDR|上海市奉贤区金海公路3265号14幢10590室,上海市,上海市,奉贤区,1,24,202601,202606,3
1,ADDR|上海市金山区山阳镇龙皓路350弄5号3层318室,上海市,上海市,金山区,1,18,202601,202606,3
1,ADDR|北京市丰台区南四环西路186号一区1号楼2层1447园区,北京市,北京市,丰台区,1,6,202601,202606,3
1,ADDR|上海市杨浦区闸殷路860号20310室,上海市,上海市,杨浦区,1,6,202601,202606,3
1,ADDR|上海市金山区枫泾镇环东一路65弄6号1295室,上海市,上海市,金山区,1,48,202601,202606,3
1,ADDR|北京市通州区永顺镇潞苑南大街1093号北京天通源宾馆217室,北京市,北京市,通州区,1,12,202601,202606,4
1,ADDR|北京市丰台区西四环南路8号兴隆灯饰批发市场1厅5号,北京市,北京市,丰台区,1,18,202601,202606,3
1,ADDR|北京市平谷区马坊镇马坊大街52号院1号楼13层1301室,北京市,北京市,平谷区,1,6,202601,202606,3
1,ADDR|北京市通州区经济开发区聚富苑产业园区聚和六街1号587,北京市,北京市,通州区,1,18,202601,202606,4
1,ADDR|上海市长宁区可乐路92号底层,上海市,上海市,长宁区,1,6,202601,202606,3
1,ADDR|上海市奉贤区南桥镇环城南路13381号1440室,上海市,上海市,奉贤区,1,24,202601,202606,3
1,ADDR|北京市大兴区天华街9号院19号楼6层604,北京市,北京市,大兴区,1,36,202601,202606,3
